Comapring this input,
https://github.com/Yousif-FJ/RE-Ambiguity-Detection-Experiment/blob/main/OpenReq/Intermediate%20artificates/g02-federalspending.csv,
With this ouput,
https://github.com/Yousif-FJ/RE-Ambiguity-Detection-Experiment/blob/main/AQUSA/Outputs/g02-federalspending-result.txt,
,
Id,Is output useful?
4,yes
11,yes
12,yes
18,yes
30,yes
35,yes
37,yes
38,yes
47,no
50,yes
52,yes
53,yes
62,yes
78,no
92,no
9,yes
13,no
18,no
21,no
34,no
37,yes
39,yes
40,no
43,no
44,yes
49,no
51,no
52,yes
53,yes
54,yes
56,yes
61,yes
65,no
69,no
70,yes
71,yes
72,yes
78,no
80,yes
87,no
91,no
92,no
97,no
43,18
